ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source,ResourceID
3f407ec4-5421-400d-a326-f833393e233c,UKHO ID,10072,UK Hydrographic Office,3f407ec4-5421-400d-a326-f833393e233c
4093d24d-4c4c-408f-9c15-c9ccb836d0c8,UKHO ID,7620,UK Hydrographic Office,4093d24d-4c4c-408f-9c15-c9ccb836d0c8
40b430cf-ec80-4aa0-909f-4d9f9d2de23b,UKHO ID,7463,UK Hydrographic Office,40b430cf-ec80-4aa0-909f-4d9f9d2de23b
41706f43-9060-4e8f-b3aa-4c08e09bf71e,UKHO ID,11985,UK Hydrographic Office,41706f43-9060-4e8f-b3aa-4c08e09bf71e
419d63b4-d34c-4961-a13b-8ba0aee0854e,UKHO ID,7326,UK Hydrographic Office,419d63b4-d34c-4961-a13b-8ba0aee0854e
41e47cb9-bec6-4699-b648-6e275293e6bb,UKHO ID,11908,UK Hydrographic Office,41e47cb9-bec6-4699-b648-6e275293e6bb
42189938-db12-4031-8c97-2d2925487968,UKHO ID,11993,UK Hydrographic Office,42189938-db12-4031-8c97-2d2925487968
43707499-281e-4a3b-82eb-504de51bcb67,UKHO ID,7345,UK Hydrographic Office,43707499-281e-4a3b-82eb-504de51bcb67
447e537b-2e33-4c01-897e-36b34b2ac619,UKHO ID,12056,UK Hydrographic Office,447e537b-2e33-4c01-897e-36b34b2ac619
448bf557-d27b-42bd-baf9-f574ec38235b,UKHO ID,10120,UK Hydrographic Office,448bf557-d27b-42bd-baf9-f574ec38235b
458fbf7d-9615-4bd8-ac41-c46e51d52ac9,UKHO ID,7415,UK Hydrographic Office,458fbf7d-9615-4bd8-ac41-c46e51d52ac9
46acd141-578c-4c57-9b12-47d45d305cdc,UKHO ID,8144,UK Hydrographic Office,46acd141-578c-4c57-9b12-47d45d305cdc
47413118-487b-448e-9e3f-de3cd1044b33,UKHO ID,12158,UK Hydrographic Office,47413118-487b-448e-9e3f-de3cd1044b33
